2017-02-16 08:15:08,879 - realTime_ny1.py:36 - logging - first info message
2017-02-16 08:15:09,028 - realTime_ny1.py:217 - logging - wait...min:15
2017-02-16 08:20:09,053 - realTime_ny1.py:217 - logging - wait...min:20
2017-02-16 08:25:09,134 - realTime_ny1.py:217 - logging - wait...min:25
2017-02-16 08:30:09,154 - realTime_ny1.py:217 - logging - wait...min:30
2017-02-16 08:35:09,239 - realTime_ny1.py:217 - logging - wait...min:35
2017-02-16 08:40:09,332 - realTime_ny1.py:217 - logging - wait...min:40
2017-02-16 08:45:09,430 - realTime_ny1.py:217 - logging - wait...min:45
2017-02-16 08:50:09,516 - realTime_ny1.py:217 - logging - wait...min:50
2017-02-16 09:00:00,000 - realTime_ny1.py:227 - logging - start! day 16 hour 9
2017-02-16 09:01:18,570 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,597 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,635 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,645 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,672 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,692 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,709 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,713 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,739 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,770 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,784 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,852 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,872 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,874 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,923 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,923 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,923 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,924 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,924 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,051 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,924 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,925 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,925 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,925 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,942 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,943 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,943 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,952 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,984 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,984 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,986 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,988 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,067 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,024 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,070 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,914 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,027 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,031 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,033 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,036 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,037 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,049 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:18,924 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,062 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,155 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,028 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,025 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,073 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,073 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,074 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,079 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,109 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,110 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,110 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,110 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,110 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,115 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,118 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,119 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,119 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,119 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,184 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,143 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,145 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,146 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,148 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,148 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,019 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,157 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,143 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,187 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,198 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,202 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,216 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,246 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,247 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,247 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,247 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,250 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,252 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,264 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,264 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,265 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,316 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,266 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,269 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,270 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,270 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,270 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,271 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,271 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,271 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,272 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,273 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,306 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,306 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,308 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,266 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,329 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,344 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,361 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,361 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,376 - realTime_ny1.py:88 - logging - get buzz fail, retry...
2017-02-16 09:01:19,398 - realTime_ny1.py:88 - logging - get buzz fail, retry...
